Frame     E2E latency(ms)        
56        79 ms               
57        80 ms               
58        76 ms               
59        66 ms               
60        55 ms               
61        221 ms              
62        218 ms              
63        218 ms              
64        207 ms              
65        211 ms              
66        204 ms              
67        190 ms              
68        188 ms              
69        178 ms              
70        171 ms              
71        168 ms              
72        169 ms              
73        162 ms              
74        161 ms              
75        150 ms              
76        134 ms              
77        129 ms              
78        126 ms              
79        115 ms              
80        110 ms              
81        104 ms              
82        95 ms               
83        89 ms               
84        73 ms               
85        87 ms               
86        76 ms               
87        110 ms              
88        109 ms              
89        103 ms              
90        97 ms               
91        86 ms               
92        81 ms               
93        72 ms               
94        68 ms               
95        62 ms               
96        63 ms               
97        52 ms               
98        86 ms               
99        83 ms               
100       76 ms               
101       68 ms               
102       87 ms               
103       133 ms              
104       133 ms              
105       123 ms              
106       116 ms              
107       107 ms              
108       147 ms              
109       145 ms              
110       135 ms              
111       125 ms              
112       117 ms              
113       135 ms              
114       138 ms              
115       126 ms              
116       117 ms              
117       115 ms              
118       100 ms              
119       110 ms              
120       91 ms               
121       120 ms              
122       116 ms              
123       112 ms              
124       102 ms              
125       95 ms               
126       93 ms               
127       88 ms               
128       79 ms               
129       73 ms               
130       69 ms               
131       164 ms              
132       160 ms              
133       157 ms              
134       145 ms              
135       135 ms              
136       127 ms              
137       145 ms              
138       147 ms              
139       142 ms              
140       130 ms              
141       127 ms              
142       117 ms              
143       105 ms              
144       102 ms              
145       142 ms              
146       141 ms              
147       142 ms              
148       139 ms              
149       139 ms              
150       128 ms              
151       116 ms              
152       108 ms              
153       102 ms              
154       97 ms               
155       84 ms               
156       124 ms              
157       116 ms              
158       116 ms              
159       111 ms              
160       109 ms              
161       94 ms               
162       92 ms               
163       89 ms               
164       75 ms               
165       70 ms               
166       64 ms               
167       56 ms               
168       143 ms              
169       134 ms              
170       133 ms              
171       128 ms              
172       126 ms              
173       117 ms              
174       115 ms              
175       109 ms              
176       94 ms               
177       89 ms               
178       82 ms               
179       72 ms               
180       60 ms               
181       69 ms               
182       60 ms               
183       52 ms               
184       53 ms               
185       54 ms               
186       55 ms               
187       90 ms               
188       138 ms              
189       126 ms              
190       117 ms              
191       171 ms              
192       169 ms              
193       164 ms              
194       152 ms              
195       151 ms              
196       136 ms                  
245       94 ms               
246       87 ms               
247       81 ms               
248       69 ms               
249       146 ms              
250       137 ms              
251       131 ms              
252       121 ms              
253       176 ms              
254       164 ms              
255       173 ms              
256       166 ms              
257       158 ms              
258       152 ms              
259       146 ms              
260       135 ms              
261       126 ms              
262       113 ms              
263       108 ms              
264       100 ms              
265       164 ms              
266       162 ms              
267       159 ms              
268       157 ms              
269       158 ms              
270       155 ms              
271       148 ms              
272       131 ms              
273       128 ms              
274       120 ms              
275       111 ms              
276       112 ms              
277       101 ms              
278       94 ms               
279       85 ms               
280       79 ms               
281       70 ms               
282       65 ms               
283       54 ms               
284       63 ms               
285       54 ms               
286       54 ms               
