Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         27.1435             21.1549             48.3390             
2         17.3123             16.6737             64.9787             
3         20.0901             7.6189              72.5566             
4         16.8085             7.8864              88.9782             
5         17.2560             8.4029              106.6385            
6         16.6504             12.2672             127.0668            
7         7.0669              12.1661             139.1883            
8         7.6910              11.3636             150.4831            
9         7.6983              13.0164             163.4321            
10        6.7160              11.7720             175.1534            
11        8.5508              10.2759             181.1854            
12        6.4798              12.7050             172.4294            
13        5.7456              11.1303             176.0997            
14        5.8741              12.9175             170.8948            
15        6.9114              10.8506             173.4555            
16        6.3653              11.7175             163.6412            
17        14.7472             11.6602             162.4940            
18        7.9186              11.1406             149.9300            
19        7.2554              14.2984             137.7251            
20        15.2868             7.8919              123.8483            
21        8.8522              7.5428              118.5529            
22        8.1799              7.8162              119.2134            
23        7.4674              7.5426              122.9321            
24        14.7446             14.6885             126.4308            
25        7.7958              12.1843             117.5518            
26        7.0082              11.3908             120.0673            
27        14.7072             7.6589              102.8511            
28        8.9112              10.8428             95.9695             
29        8.5956              7.3449              60.9409             
30        8.9300              9.2144              69.7228             
31        8.3184              8.0879              75.2674             
32        7.2720              7.6206              70.9779             
33        7.5958              9.5277              50.4944             
34        8.1016              13.1623             43.6977             
35        8.3753              12.9317             31.5391             
36        7.2380              7.3817              38.7351             
37        7.3995              7.7918              34.4936             
38        7.7615              9.9457              32.0515             
39        7.5581              10.7330             18.3158             
40        7.9750              7.7883              18.6395             
41        8.2825              12.1947             20.5041             
42        6.7656              14.9590             35.2969             
43        8.1060              8.6357              36.3431             
44        8.1036              9.6505              31.5206             
45        7.1200              9.6537              32.1330             
46        7.4370              7.8672              20.0300             
47        7.0635              7.7679              14.8636             
48        6.7760              12.5479             19.3629             
49        7.7365              16.0419             32.8829             
50        7.7519              9.2875              42.0182             
51        10.0450             7.4413              40.7817             
52        7.6104              11.8333             45.0838             
53        6.5318              12.4726             22.6507             
54        7.0546              8.6061              23.8033             
55        7.3831              7.7513              21.5634             
56        7.1535              12.5474             19.7306             
57        7.7628              7.5775              15.3675             
58        7.1338              7.4155              14.5806             
59        7.0688              11.4906             18.5887             
60        8.1443              7.4187              15.6059             
61        10.4906             11.2773             21.8010             
62        8.8391              13.2627             22.1474             
63        8.3124              11.8701             30.9881             
64        7.7582              7.6622              31.6027             
65        6.8869              10.4883             32.2644             
66        7.7775              12.2076             20.0891             
67        8.8469              7.4811              17.5431             
68        6.9765              7.7009              14.7076             
69        7.1937              7.7114              14.9379             
70        6.4952              7.4155              13.9419             
71        6.8835              7.7274              14.6561             
72        6.9226              7.6248              14.5775             
73        6.7564              7.8467              14.6326             
74        6.4069              7.8499              14.2892             
75        6.7461              10.4133             17.1967             
76        7.2862              11.7899             19.1033             
77        8.8078              9.5239              18.3698             
78        8.2409              7.5284              15.7974             
79        6.8118              11.9433             18.7854             
80        8.9684              11.2335             20.2345             
81        8.2159              7.4755              15.7219             
82        7.1561              16.2820             23.4850             
83        7.1930              8.3692              28.9819             
84        8.8354              7.8908              33.1332             
85        8.0830              10.8500             18.9657             
86        7.6689              10.0676             17.7640             
87        7.6768              11.9928             25.6952             
88        7.7684              7.7924              18.4681             
89        6.3292              11.5331             17.9059             
90        7.5887              13.2253             22.7946             
91        7.5407              8.9805              21.6621             
92        6.8037              10.3340             21.9785             
93        8.2733              7.5596              15.8637             
94        6.3724              10.0831             16.5008             
95        7.0383              7.9973              15.0618             
96        6.1681              7.7679              13.9646             
97        7.2217              8.0367              15.2860             
98        7.3468              8.0068              15.3979             
99        6.3381              10.7732             17.1429             
100       6.4979              7.7573              16.7534             
101       7.4227              7.6500              15.1020             
102       6.8984              7.4744              14.4021             
103       6.5856              11.5754             18.1892             
104       7.5430              8.2070              18.2864             
105       7.3528              9.8128              17.1935             
106       6.6595              7.8284              24.8696             
107       6.4308              10.4368             16.8947             
108       7.1203              8.5848              17.9225             
109       8.8782              14.0247             22.9307             
110       6.4050              7.7580              27.4095             
111       8.0755              9.8500              27.4844             
112       5.9698              10.9272             16.9560             
113       8.1311              10.4122             18.5847             
114       8.0315              7.9573              16.0166             
115       6.1895              8.7041              14.9217             
116       6.4200              10.4395             16.8917             
117       7.2875              7.7710              17.0930             
118       6.6829              8.2287              14.9425             
119       6.3339              7.4138              13.7797             
120       6.0610              7.8589              13.9462             
121       7.0654              7.7526              14.8437             
122       6.5926              10.8335             17.4696             
123       7.2402              7.7046              17.8659             
124       6.8673              12.2334             19.1303             
125       6.6605              8.3469              24.8366             
126       8.3464              9.9085              30.9501             
127       7.2434              8.3112              15.5917             
128       7.3608              10.1513             17.5503             
129       7.0320              10.6885             23.7995             
130       8.2264              10.4611             18.7196             
131       8.3969              8.1626              16.6009             
132       6.4572              8.5135              15.0026             
133       7.0237              12.6998             19.7549             
134       8.6960              12.4985             22.2945             
135       8.1133              7.6866              15.8367             
136       6.8218              7.6390              14.5016             
137       7.4660              8.3282              15.8260             
138       7.1173              11.3827             18.5300             
139       7.9498              9.9108              20.8976             
140       6.8134              7.8461              15.4533             
141       6.3292              9.6947              16.0528             
142       8.8155              7.6784              16.5441             
143       6.2741              9.8715              16.1744             
144       6.9889              8.1025              15.1308             
145       6.6195              10.0394             16.6872             
146       6.1625              7.4943              16.4810             
147       6.5882              7.6792              14.2981             
148       5.9289              7.9080              13.8677             
149       6.0875              7.7489              13.8699             
150       6.8411              10.7162             17.5861             
151       7.0190              7.3229              19.7680             
152       5.6602              7.9527              13.6400             
153       7.3400              10.8527             18.2198             
154       7.4209              11.3104             22.0112             
155       6.7804              7.9979              17.2282             
156       5.5553              7.5599              13.1450             
157       8.0007              11.2903             19.3170             
158       7.3659              8.1538              15.5483             
159       6.1592              7.8682              14.0528             
160       7.0729              10.4617             17.5661             
161       7.9066              7.8730              15.8122             
162       5.4393              7.9007              13.3864             
163       7.0088              12.1207             19.1616             
164       6.3069              8.4173              25.0647             
165       7.9008              9.8411              24.4081             
166       7.0820              11.0765             18.6562             
167       6.3026              7.6659              16.3188             
168       6.6588              10.3958             17.0863             
169       7.4168              7.6190              15.0760             
170       6.7113              11.2783             18.0380             
171       7.7474              9.9327              17.9547             
172       6.1761              7.6539              15.4445             
173       6.5450              10.4411             17.0224             
174       7.9682              8.2822              16.2964             
175       5.9227              7.6943              13.6479             
176       6.7688              10.3956             17.1932             
177       6.5012              7.6156              16.7975             
178       6.0194              9.5903              15.6416             
179       7.0574              8.3350              15.4215             
180       6.0090              7.4079              13.4530             
181       7.8229              9.7512              17.6061             
182       7.1318              10.1237             17.3001             
183       6.7413              10.5436             26.5749             
184       7.9079              7.8829              17.8073             
185       6.7435              7.6823              14.4752             
186       7.6111              10.8326             18.4758             
187       8.2320              8.3665              23.8142             
188       8.3904              12.6319             21.0596             
189       7.2197              12.3453             30.0168             
190       7.4519              13.1218             31.0955             
191       8.1879              7.8033              31.8892             
