index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       12.20         -49.77          47.45         59.65         100000      16.48     
2       19.87         -42.10          7.21          27.09         100000      16.48     
3       14.61         -48.70          11.70         26.32         100000      14.16     
4       14.96         -48.36          4.23          19.19         100000      14.16     
5       23.01         -40.30          4.53          27.55         100000      14.16     
6       22.26         -37.95          2.98          25.24         100000      12.37     
7       20.67         -39.54          4.62          25.29         100000      12.37     
8       10.61         -49.59          5.09          15.70         100000      12.37     
9       14.24         -47.35          5.22          19.47         100000      9.86      
10      11.27         -50.32          10.16         21.44         100000      9.86      
11      20.84         -40.76          6.60          27.44         100000      9.86      
12      12.96         -48.80          4.38          17.34         100000      9.64      
13      11.18         -50.59          11.81         22.99         100000      9.64      
14      16.02         -45.75          4.20          20.21         100000      9.64      
15      11.66         -50.09          18.50         30.16         100000      10.69     
16      11.99         -49.76          15.96         27.95         100000      10.69     
17      12.52         -49.24          8.40          20.92         100000      10.69     
18      12.22         -49.61          10.98         23.20         100000      10.35     
19      20.03         -41.81          7.36          27.38         100000      10.35     
20      12.17         -49.66          8.59          20.76         100000      10.35     
21      11.08         -50.51          10.40         21.48         100000      11.03     
22      19.89         -41.70          5.55          25.44         100000      11.03     
23      20.04         -41.55          11.23         31.27         100000      11.03     
24      21.55         -40.32          6.56          28.11         100000      10.63     
25      11.66         -50.21          6.36          18.02         100000      10.63     
26      12.56         -49.31          12.09         24.65         100000      10.63     
27      19.91         -41.87          7.85          27.77         100000      10.28     
28      12.68         -49.10          7.53          20.21         100000      10.28     
29      12.95         -48.84          9.13          22.08         100000      10.28     
30      12.12         -51.18          8.93          21.04         100000      13.28     
31      16.86         -46.44          12.59         29.45         100000      13.28     
32      13.99         -49.31          12.11         26.10         100000      13.28     
33      13.63         -47.96          6.18          19.81         100000      10.28     
34      10.57         -51.02          6.07          16.64         100000      10.28     
35      11.28         -50.31          9.33          20.61         100000      10.28     
36      21.92         -41.09          7.49          29.41         100000      13.59     
37      12.85         -50.15          6.17          19.02         100000      13.59     
38      17.17         -45.83          3.67          20.85         100000      13.59     
39      22.20         -41.15          5.85          28.05         100000      13.21     
40      13.04         -50.31          6.72          19.76         100000      13.21     
41      12.57         -50.07          13.88         26.45         100000      11.90     
