index   ul_delay_ms   duration_ms   packet_size  sync_rtt_ms
1       39.33         116.77        200000      10.00     
2       41.69         206.15        200000      36.82     
3       43.67         87.96         200000      36.82     
4       36.65         89.01         200000      36.82     
5       37.62         84.11         200000      23.63     
6       33.33         90.93         200000      23.63     
7       31.90         84.71         200000      23.63     
8       30.64         82.84         200000      10.85     
9       20.31         88.33         200000      10.85     
10      26.92         84.16         200000      10.85     
11      28.83         66.29         200000      9.57      
12      30.24         87.72         200000      9.57      
13      26.86         75.44         200000      9.57      
14      18.16         70.51         200000      9.57      
15      50.56         80.33         200000      47.87     
16      45.86         68.20         200000      47.87     
17      38.83         75.16         200000      47.87     
18      30.93         69.04         200000      29.29     
19      32.52         76.39         200000      29.29     
20      32.12         85.07         200000      29.29     
21      21.66         89.65         200000      9.91      
22      21.10         81.64         200000      9.91      
23      27.26         65.06         200000      9.91      
24      23.85         71.86         200000      9.91      
25      30.43         80.62         200000      30.11     
26      43.76         74.76         200000      30.11     
27      38.88         69.19         200000      30.11     
28      21.98         82.08         200000      9.61      
29      28.27         68.98         200000      9.61      
30      27.55         80.91         200000      9.61      
31      26.01         99.71         200000      10.45     
32      23.51         88.30         200000      10.45     
33      29.65         79.74         200000      10.45     
34      33.48         108.55        200000      10.45     
35      22.74         80.02         200000      10.59     
36      35.86         71.56         200000      10.59     
37      19.06         102.73        200000      10.59     
38      29.26         69.17         200000      10.73     
39      29.57         79.88         200000      10.73     
40      26.30         86.14         200000      10.73     
41      36.55         66.99         200000      9.60      
42      18.59         79.70         200000      9.60      
43      22.34         135.74        200000      9.60      
44      31.76         104.33        200000      9.60      
45      20.72         73.41         200000      11.32     
46      24.87         82.76         200000      11.32     
47      27.79         137.95        200000      11.32     
48      25.31         96.77         200000      10.73     
49      26.43         71.73         200000      10.73     
50      30.99         73.79         200000      10.73     
51      21.00         87.33         200000      9.65      
52      22.46         69.90         200000      9.65      
53      20.30         92.00         200000      9.65      
54      30.47         89.74         200000      9.65      
55      35.85         87.93         200000      10.81     
56      27.93         96.95         200000      10.81     
57      32.15         80.20         200000      10.81     
58      39.49         78.99         200000      34.04     
59      38.94         107.32        200000      34.04     
60      40.25         86.14         200000      34.04     
61      24.73         109.71        200000      9.49      
62      29.10         96.35         200000      9.49      
63      36.30         100.39        200000      9.49      
64      24.44         92.37         200000      9.49      
65      27.30         88.29         200000      9.68      
66      30.39         91.12         200000      9.68      
67      26.83         106.03        200000      9.68      
68      28.49         85.41         200000      9.23      
69      32.30         81.47         200000      9.23      
70      26.46         67.57         200000      9.23      
71      31.11         81.49         200000      9.67      
72      30.54         73.93         200000      9.67      
73      29.11         83.68         200000      9.67      
74      25.86         80.13         200000      9.20      
75      27.17         78.10         200000      9.20      
76      31.26         72.98         200000      9.20      
77      32.14         95.36         200000      9.20      
78      20.75         84.53         200000      9.52      
79      27.08         84.51         200000      9.52      
80      19.12         90.34         200000      9.52      
81      29.16         86.00         200000      9.73      
82      25.42         86.19         200000      9.73      
83      23.22         83.36         200000      9.73      
84      29.34         103.72        200000      9.12      
85      17.31         99.48         200000      9.12      
86      17.80         125.09        200000      9.12      
87      31.35         103.42        200000      9.12      
88      28.38         95.65         200000      9.28      
89      27.78         90.45         200000      9.28      
90      31.84         176.22        200000      9.28      
91      32.68         107.48        200000      9.52      
92      29.18         117.96        200000      9.52      
93      34.06         99.28         200000      9.52      
94      27.44         117.94        200000      9.70      
95      20.87         104.99        200000      9.70      
96      31.41         94.61         200000      9.70      
97      24.79         127.61        200000      9.70      
98      26.72         93.14         200000      10.67     
99      30.36         76.13         200000      10.67     
100     22.13         134.58        200000      10.67     
101     21.11         89.64         200000      10.19     
102     26.16         98.31         200000      10.19     
103     21.66         82.52         200000      10.19     
104     34.37         79.70         200000      9.69      
105     37.11         76.23         200000      9.69      
106     30.67         89.53         200000      9.69      
107     26.79         91.30         200000      9.69      
108     18.00         79.65         200000      10.89     
109     31.46         85.01         200000      10.89     
110     26.60         92.83         200000      10.89     
111     18.43         97.29         200000      9.78      
112     26.57         76.43         200000      9.78      
113     30.87         83.35         200000      9.78      
114     29.65         87.06         200000      8.65      
115     25.89         73.32         200000      8.65      
116     28.58         81.13         200000      8.65      
117     25.81         72.68         200000      8.65      
118     40.33         102.94        200000      46.28     
119     44.27         164.89        200000      46.28     
120     55.76         80.06         200000      46.28     
121     30.38         74.90         200000      9.62      
122     26.60         98.09         200000      9.62      
123     30.07         89.46         200000      9.62      
124     35.56         88.11         200000      10.12     
125     24.85         91.53         200000      10.12     
126     27.96         101.39        200000      10.12     
127     28.31         181.49        200000      10.12     
128     35.90         83.47         200000      10.14     
129     28.49         93.60         200000      10.14     
130     27.05         86.04         200000      10.14     
131     25.80         98.08         200000      15.97     
132     29.46         88.14         200000      15.97     
133     25.65         91.81         200000      15.97     
134     25.15         96.00         200000      9.81      
135     28.69         82.43         200000      9.81      
136     29.55         91.27         200000      9.81      
137     24.71         83.82         200000      9.81      
138     28.99         95.69         200000      10.36     
139     24.75         90.27         200000      10.36     
140     22.46         82.85         200000      10.36     
