index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       5.90          -58.22          20.89         26.79         200000      7.44      
2       6.15          -57.97          10.71         16.86         200000      7.44      
3       6.11          -58.00          8.95          15.07         200000      7.44      
4       6.11          -58.01          10.01         16.12         200000      7.44      
5       6.15          -58.11          12.30         18.45         200000      7.97      
6       5.87          -58.39          11.61         17.48         200000      7.97      
7       6.32          -57.94          12.34         18.66         200000      7.97      
8       6.66          -57.60          9.10          15.76         200000      7.97      
9       5.87          -58.34          11.13         16.99         200000      7.39      
10      5.23          -58.98          11.99         17.23         200000      7.39      
11      5.84          -58.38          13.64         19.48         200000      7.39      
12      6.60          -57.61          11.28         17.88         200000      7.39      
13      5.49          -58.72          13.28         18.77         200000      7.39      
14      6.43          -57.88          12.69         19.13         200000      7.90      
15      6.29          -58.02          12.38         18.67         200000      7.90      
16      5.52          -58.79          12.15         17.67         200000      7.90      
17      6.32          -58.00          9.37          15.68         200000      7.90      
18      5.52          -58.51          12.40         17.93         200000      7.70      
19      5.74          -58.29          9.42          15.16         200000      7.70      
20      6.12          -57.91          11.63         17.75         200000      7.70      
21      7.46          -56.57          10.68         18.14         200000      7.70      
22      5.81          -58.26          9.62          15.43         200000      6.48      
23      5.08          -58.99          13.90         18.98         200000      6.48      
24      5.82          -58.24          12.05         17.88         200000      6.48      
25      5.87          -58.20          11.35         17.22         200000      6.48      
26      6.10          -57.97          11.44         17.54         200000      6.48      
27      5.36          -58.52          10.59         15.94         200000      6.71      
28      6.20          -57.68          10.19         16.39         200000      6.71      
29      5.94          -57.94          10.43         16.36         200000      6.71      
30      5.32          -58.55          11.18         16.50         200000      6.71      
31      6.04          -58.07          9.98          16.02         200000      6.95      
32      6.26          -57.86          9.67          15.92         200000      6.95      
33      5.53          -58.59          9.62          15.15         200000      6.95      
34      5.98          -58.13          8.88          14.86         200000      6.95      
35      6.04          -58.01          8.88          14.92         200000      6.48      
36      5.79          -58.26          9.27          15.06         200000      6.48      
37      5.88          -58.17          13.01         18.90         200000      6.48      
38      5.45          -58.61          9.75          15.20         200000      6.48      
39      5.58          -58.62          10.98         16.55         200000      6.21      
40      5.08          -59.12          10.90         15.98         200000      6.21      
41      5.60          -58.60          10.22         15.82         200000      6.21      
42      6.60          -57.59          8.67          15.27         200000      6.21      
43      5.86          -58.34          13.13         18.99         200000      6.21      
44      6.05          -58.12          10.23         16.28         200000      6.54      
45      5.62          -58.55          10.36         15.98         200000      6.54      
46      6.66          -57.51          9.60          16.26         200000      6.54      
47      6.25          -57.92          8.98          15.23         200000      6.54      
48      6.26          -57.86          10.18         16.44         200000      6.51      
49      5.56          -58.56          11.45         17.01         200000      6.51      
50      5.68          -58.44          9.93          15.62         200000      6.51      
51      5.85          -58.27          9.95          15.79         200000      6.51      
52      5.82          -58.30          10.13         15.94         200000      6.49      
53      5.88          -58.24          8.37          14.26         200000      6.49      
54      5.40          -58.72          11.24         16.64         200000      6.49      
55      5.71          -58.41          9.25          14.96         200000      6.49      
56      6.25          -57.87          9.24          15.49         200000      6.49      
57      5.59          -58.49          11.84         17.43         200000      6.49      
58      5.68          -58.40          9.93          15.60         200000      6.49      
59      5.65          -58.42          10.24         15.89         200000      6.49      
60      5.07          -59.01          10.75         15.82         200000      6.49      
61      6.04          -58.00          10.05         16.09         200000      6.75      
62      5.84          -58.19          9.28          15.12         200000      6.75      
63      5.68          -58.36          14.46         20.14         200000      6.75      
64      6.15          -57.89          9.87          16.02         200000      6.75      
65      6.26          -57.66          10.22         16.48         200000      6.63      
66      5.54          -58.38          9.28          14.83         200000      6.63      
67      5.09          -58.83          11.36         16.46         200000      6.63      
68      5.70          -58.22          10.08         15.77         200000      6.63      
69      6.27          -57.65          9.48          15.75         200000      6.63      
70      5.52          -58.62          9.80          15.32         200000      6.26      
71      6.19          -57.94          9.10          15.29         200000      6.26      
72      5.97          -58.17          8.61          14.58         200000      6.26      
73      5.93          -58.21          9.12          15.05         200000      6.26      
74      5.29          -58.58          10.15         15.44         200000      6.97      
75      5.27          -58.60          10.15         15.42         200000      6.97      
76      5.75          -58.11          8.95          14.70         200000      6.97      
77      5.15          -58.71          10.28         15.43         200000      6.97      
78      4.83          -59.13          11.61         16.43         200000      6.91      
79      5.32          -58.63          13.85         19.17         200000      6.91      
80      5.61          -58.34          12.88         18.48         200000      6.91      
81      4.68          -59.28          12.49         17.16         200000      6.91      
82      5.44          -58.51          10.23         15.67         200000      6.91      
83      6.20          -57.89          9.03          15.23         200000      6.35      
84      6.52          -57.58          6.59          13.11         200000      6.35      
85      5.24          -58.86          9.85          15.09         200000      6.35      
86      6.16          -57.93          13.18         19.34         200000      6.35      
87      5.64          -58.42          8.33          13.97         200000      6.38      
88      5.78          -58.28          8.67          14.44         200000      6.38      
89      6.15          -57.90          11.48         17.63         200000      6.38      
90      6.13          -57.93          8.84          14.97         200000      6.38      
91      6.30          -57.70          12.10         18.40         200000      6.71      
92      6.44          -57.56          9.31          15.75         200000      6.71      
93      5.63          -58.36          10.99         16.62         200000      6.71      
