index   ul_delay_ms   duration_ms   packet_size  sync_rtt_ms
1       19.82         27.50         100000      7.39      
2       21.19         39.34         100000      7.39      
3       33.70         25.49         100000      7.18      
4       25.42         30.00         100000      7.18      
5       17.78         51.12         100000      7.55      
6       20.22         42.45         100000      7.55      
7       19.99         24.40         100000      7.50      
8       17.02         30.04         100000      7.50      
9       20.62         31.58         100000      7.13      
10      22.28         34.94         100000      7.13      
11      18.73         38.40         100000      6.44      
12      17.86         56.05         100000      6.44      
13      49.33         28.17         100000      6.36      
14      20.83         25.46         100000      6.36      
15      18.34         37.08         100000      6.52      
16      28.50         33.76         100000      6.52      
17      23.16         23.88         100000      6.39      
18      19.41         36.75         100000      6.39      
19      20.62         28.35         100000      6.59      
20      17.90         37.98         100000      6.59      
21      19.67         39.40         100000      6.57      
22      22.37         43.62         100000      6.57      
23      70.15         25.10         100000      6.22      
24      18.64         34.02         100000      6.22      
25      20.59         25.70         100000      6.50      
26      18.20         46.20         100000      6.50      
27      24.44         24.33         100000      6.38      
28      16.64         30.07         100000      6.38      
29      20.26         29.47         100000      6.54      
30      20.99         27.21         100000      6.54      
31      17.05         32.04         100000      6.72      
32      28.73         24.51         100000      6.72      
33      16.71         46.21         100000      6.63      
34      23.73         25.08         100000      6.63      
35      18.31         35.25         100000      6.31      
36      15.94         51.93         100000      6.31      
37      33.15         26.59         100000      6.34      
38      19.83         25.80         100000      6.34      
39      16.14         43.94         100000      6.57      
40      20.91         31.33         100000      6.57      
41      16.57         29.49         100000      6.59      
42      19.91         30.64         100000      6.59      
43      16.80         50.17         100000      6.74      
44      26.82         24.65         100000      6.74      
45      19.60         28.05         100000      6.52      
46      19.81         57.44         100000      6.52      
47      36.66         33.76         100000      6.35      
48      15.97         29.90         100000      6.35      
49      19.59         31.59         100000      6.50      
50      19.85         26.89         100000      6.50      
51      17.62         40.08         100000      6.56      
52      24.64         19.77         100000      6.56      
53      16.39         48.09         100000      6.53      
54      28.08         34.12         100000      6.53      
55      20.32         38.88         100000      6.25      
56      19.68         53.24         100000      6.25      
57      35.48         41.75         100000      6.71      
58      18.44         43.02         100000      6.71      
59      19.22         37.52         100000      6.35      
60      23.83         23.19         100000      6.35      
61      19.78         31.71         100000      6.71      
62      19.89         31.01         100000      6.71      
63      16.97         53.77         100000      6.44      
64      25.11         30.06         100000      6.44      
65      16.43         35.15         100000      7.15      
66      19.31         44.81         100000      7.15      
67      33.42         25.07         100000      6.38      
68      17.41         44.43         100000      6.38      
69      18.76         34.96         100000      6.49      
70      21.02         32.56         100000      6.49      
71      21.15         31.58         100000      6.27      
72      16.73         59.56         100000      6.27      
73      18.45         43.67         100000      6.39      
74      25.26         25.02         100000      6.39      
75      19.20         30.11         100000      6.46      
76      17.40         51.82         100000      6.46      
77      33.28         32.62         100000      6.36      
78      20.43         24.81         100000      6.36      
79      16.55         35.98         100000      6.36      
80      19.26         27.97         100000      6.36      
81      19.26         28.32         100000      6.61      
82      18.29         34.84         100000      6.61      
83      18.76         58.00         100000      6.64      
84      29.82         30.05         100000      6.64      
85      17.12         32.31         100000      6.46      
86      18.69         56.69         100000      6.46      
87      19.28         40.83         100000      6.49      
88      16.37         34.17         100000      6.49      
89      19.58         27.42         100000      6.16      
90      20.17         25.29         100000      6.16      
91      21.40         24.66         100000      6.33      
92      16.41         32.92         100000      6.33      
93      18.26         49.68         100000      6.19      
94      33.03         30.20         100000      6.19      
95      20.87         23.70         100000      6.26      
96      17.34         64.44         100000      6.26      
97      16.34         55.75         100000      6.17      
98      19.18         34.54         100000      6.17      
99      20.13         41.29         100000      6.84      
100     18.15         30.57         100000      6.84      
101     19.75         24.02         100000      6.42      
102     17.98         33.58         100000      6.42      
103     19.26         45.99         100000      6.37      
104     16.02         49.25         100000      6.37      
105     18.01         30.66         100000      6.71      
106     17.31         34.30         100000      6.71      
107     18.82         50.54         100000      6.47      
108     16.05         30.15         100000      6.47      
109     21.70         35.55         100000      6.36      
110     18.39         30.28         100000      6.36      
111     18.62         27.29         100000      6.41      
112     16.61         30.13         100000      6.41      
113     17.77         35.33         100000      6.67      
114     17.63         50.10         100000      6.67      
115     27.96         24.59         100000      6.30      
116     18.74         28.51         100000      6.30      
117     20.77         54.49         100000      6.42      
118     18.47         30.58         100000      6.42      
119     17.46         29.77         100000      6.51      
120     17.60         32.73         100000      6.51      
121     20.09         38.48         100000      6.76      
122     18.04         32.97         100000      6.76      
123     18.32         67.04         100000      7.04      
124     17.10         42.98         100000      7.04      
125     16.36         30.00         100000      6.64      
126     20.47         24.23         100000      6.64      
127     17.18         61.40         100000      6.45      
128     18.37         29.22         100000      6.45      
129     18.83         29.03         100000      6.57      
130     21.10         27.53         100000      6.57      
131     19.82         32.11         100000      6.35      
132     21.19         24.80         100000      6.35      
133     19.46         43.28         100000      6.39      
134     19.03         43.90         100000      6.39      
135     17.88         29.48         100000      6.56      
136     19.99         24.78         100000      6.56      
137     15.93         51.17         100000      6.67      
138     18.00         39.11         100000      6.67      
139     16.21         39.96         100000      6.36      
140     18.96         26.68         100000      6.36      
141     21.88         27.47         100000      6.68      
142     17.50         43.39         100000      6.68      
143     17.58         59.01         100000      6.46      
144     16.92         44.44         100000      6.46      
145     19.52         28.19         100000      6.42      
146     19.09         30.05         100000      6.42      
147     16.18         39.08         100000      6.24      
148     25.78         27.32         100000      6.24      
149     18.10         27.03         100000      6.19      
150     18.39         37.68         100000      6.19      
151     30.41         35.82         100000      6.63      
152     20.26         25.39         100000      6.63      
153     20.63         42.80         100000      6.53      
154     17.99         44.60         100000      6.53      
155     19.83         34.33         100000      6.32      
156     16.60         39.28         100000      6.32      
157     19.68         26.17         100000      6.67      
158     19.46         30.18         100000      6.67      
159     17.17         31.76         100000      6.77      
160     17.24         35.20         100000      6.77      
161     34.40         25.54         100000      6.57      
162     26.07         25.19         100000      6.57      
163     17.99         65.82         100000      6.32      
164     19.05         49.12         100000      6.32      
165     19.47         26.51         100000      6.26      
166     17.28         29.26         100000      6.26      
167     18.41         31.17         100000      6.58      
168     21.12         25.64         100000      6.58      
169     16.44         55.12         100000      6.37      
170     20.63         29.19         100000      6.37      
171     49.52         26.11         100000      6.34      
172     19.18         28.63         100000      6.34      
173     19.44         48.67         100000      6.24      
174     20.61         38.54         100000      6.24      
175     15.53         30.59         100000      6.66      
176     17.49         40.14         100000      6.66      
177     21.54         28.77         100000      6.41      
178     19.57         32.27         100000      6.41      
179     18.35         38.53         100000      6.21      
180     18.26         35.53         100000      6.21      
181     44.60         25.77         100000      6.40      
182     16.35         35.41         100000      6.40      
183     18.22         48.03         100000      6.30      
184     21.32         43.77         100000      6.30      
185     18.13         45.52         100000      6.51      
186     20.54         28.12         100000      6.51      
187     21.68         26.04         100000      6.27      
188     20.23         24.64         100000      6.27      
189     19.90         28.62         100000      6.49      
190     20.21         30.66         100000      6.49      
191     35.62         24.21         100000      6.27      
192     17.50         35.65         100000      6.27      
193     16.46         32.32         100000      6.34      
194     21.74         39.78         100000      6.34      
195     16.93         31.74         100000      6.45      
196     19.55         27.93         100000      6.45      
197     17.27         48.17         100000      6.19      
198     19.97         26.66         100000      6.19      
199     16.64         31.92         100000      6.32      
200     16.67         37.07         100000      6.32      
201     19.62         36.71         100000      6.50      
202     21.05         26.83         100000      6.50      
203     20.64         25.98         100000      6.65      
204     17.71         55.14         100000      6.65      
205     22.01         24.59         100000      6.46      
206     19.16         26.29         100000      6.46      
207     16.74         42.16         100000      6.52      
208     19.40         35.80         100000      6.52      
209     17.00         31.63         100000      6.29      
210     16.46         36.30         100000      6.29      
211     20.15         36.25         100000      6.39      
212     16.51         40.86         100000      6.39      
213     18.53         64.82         100000      6.56      
214     19.23         44.68         100000      6.56      
215     26.88         30.66         100000      6.37      
216     18.49         27.51         100000      6.37      
217     15.96         33.99         100000      6.41      
218     17.71         29.29         100000      6.41      
219     19.71         25.07         100000      6.60      
220     16.11         40.26         100000      6.60      
221     17.84         42.92         100000      6.38      
222     21.80         24.28         100000      6.38      
223     24.37         32.74         100000      6.40      
224     17.40         55.48         100000      6.40      
225     29.40         33.69         100000      6.34      
226     21.42         25.02         100000      6.34      
227     19.83         24.80         100000      6.25      
228     21.14         25.92         100000      6.25      
229     17.31         42.33         100000      6.30      
230     20.49         48.56         100000      6.30      
231     18.13         47.07         100000      6.52      
232     30.98         28.58         100000      6.52      
233     19.94         39.34         100000      6.46      
234     19.14         44.67         100000      6.46      
235     35.77         24.10         100000      6.61      
236     18.19         28.92         100000      6.61      
237     19.66         27.15         100000      6.39      
238     19.84         32.34         100000      6.39      
239     20.08         24.63         100000      6.61      
240     17.90         33.91         100000      6.61      
241     20.61         43.28         100000      6.66      
242     32.03         25.07         100000      6.66      
243     18.68         36.52         100000      6.69      
244     16.00         37.65         100000      6.69      
245     18.58         44.20         100000      6.37      
246     20.89         25.53         100000      6.37      
247     20.67         27.23         100000      6.38      
248     18.54         34.99         100000      6.38      
249     19.53         31.18         100000      7.15      
250     17.34         30.38         100000      7.15      
