index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       11.42         -11.12          23.63         35.05         200000      6.74      
2       11.70         -10.84          12.96         24.67         200000      6.74      
3       16.84         -5.70           18.57         35.41         200000      6.74      
4       92.17         69.63           34.02         126.19        200000      6.60      
5       11.01         -11.52          18.77         29.79         200000      6.60      
6       11.50         -11.04          22.97         34.47         200000      6.60      
7       8.61          -13.12          29.26         37.87         200000      8.62      
8       190.74        169.01          16.94         207.67        200000      8.62      
9       13.18         -9.89           21.19         34.36         200000      7.20      
10      17.28         -5.79           14.84         32.12         200000      7.20      
11      11.99         -11.08          23.97         35.96         200000      7.20      
12      12.02         -10.92          24.20         36.22         200000      6.63      
13      12.87         -10.07          17.91         30.78         200000      6.63      
14      11.99         -10.95          21.06         33.05         200000      6.63      
15      126.30        103.53          24.57         150.88        200000      6.36      
16      11.37         -11.40          17.51         28.88         200000      6.36      
17      17.08         -5.77           12.73         29.81         200000      7.75      
18      18.03         -4.81           12.63         30.66         200000      7.75      
19      10.48         -12.36          19.95         30.43         200000      7.75      
20      11.31         -11.43          24.30         35.61         200000      8.00      
21      11.66         -11.08          145.02        156.68        200000      8.00      
22      11.39         -11.35          18.35         29.74         200000      8.00      
23      11.11         -11.38          28.98         40.09         200000      7.12      
24      16.31         -6.18           14.68         30.99         200000      7.12      
25      9.38          -13.12          35.26         44.64         200000      7.12      
26      190.94        168.71          11.44         202.38        200000      7.42      
27      16.29         -5.95           12.82         29.11         200000      7.42      
28      16.81         -5.96           12.67         29.48         200000      7.13      
29      11.70         -11.07          17.20         28.90         200000      7.13      
30      11.26         -11.51          24.31         35.57         200000      7.13      
31      11.63         -11.34          18.11         29.74         200000      8.03      
32      11.98         -11.00          18.82         30.80         200000      8.03      
33      12.11         -10.87          20.93         33.04         200000      8.03      
34      121.34        98.99           16.96         138.30        200000      6.94      
35      16.49         -5.86           12.78         29.27         200000      6.94      
36      17.36         -4.98           11.97         29.33         200000      6.94      
37      10.96         -10.88          15.42         26.38         200000      8.42      
38      235.73        213.90          11.08         246.82        200000      8.42      
39      11.68         -10.98          18.75         30.44         200000      6.60      
40      11.74         -10.92          21.28         33.02         200000      6.60      
41      11.16         -11.50          23.69         34.86         200000      6.60      
42      220.33        198.04          12.95         233.29        200000      7.39      
43      11.32         -10.97          20.04         31.36         200000      7.39      
44      19.02         -4.09           14.66         33.68         200000      6.74      
45      13.55         -9.56           20.85         34.41         200000      6.74      
46      17.15         -5.97           13.02         30.16         200000      6.74      
47      187.29        164.66          27.35         214.63        200000      7.75      
48      11.62         -11.01          20.90         32.52         200000      7.75      
49      12.75         -9.94           18.71         31.46         200000      6.97      
50      16.71         -5.98           12.66         29.37         200000      6.97      
51      211.54        188.85          22.94         234.48        200000      6.97      
52      13.23         -8.89           26.88         40.11         200000      8.20      
53      11.71         -10.40          26.63         38.34         200000      8.20      
54      19.49         -3.79           15.00         34.49         200000      7.46      
55      11.99         -11.30          34.14         46.12         200000      7.46      
