index   ul_delay_ms   duration_ms   packet_size  sync_rtt_ms
1       14.89         30.19         50000       7.14      
2       13.83         22.80         50000       7.14      
3       13.00         20.12         50000       7.14      
4       8.98          17.37         50000       7.14      
5       18.66         15.34         50000       6.45      
6       13.12         27.91         50000       6.45      
7       14.24         17.77         50000       6.45      
8       12.74         17.84         50000       8.37      
9       11.38         20.06         50000       8.37      
10      4.87          25.59         50000       8.37      
11      9.42          19.99         50000       7.76      
12      12.33         12.82         50000       7.76      
13      12.30         17.67         50000       7.76      
14      15.09         12.85         50000       7.76      
15      59.11         0.39          50000       7.12      
16      17.47         22.69         50000       7.12      
17      12.88         17.79         50000       7.12      
18      12.36         22.75         50000       6.65      
19      11.89         67.51         50000       6.65      
20      21.55         22.83         50000       8.53      
21      13.03         18.02         50000       8.53      
22      16.41         17.98         50000       8.53      
23      15.50         15.44         50000       7.87      
24      15.03         20.44         50000       7.87      
25      7.17          15.47         50000       7.87      
26      9.25          15.39         50000       7.87      
27      11.86         15.34         50000       8.29      
28      9.89          17.96         50000       8.29      
29      11.24         15.42         50000       8.29      
30      10.27         17.97         50000       6.83      
31      14.78         15.40         50000       6.83      
32      12.73         17.82         50000       6.83      
33      5.60          22.98         50000       9.11      
34      15.08         17.95         50000       9.11      
35      14.38         15.09         50000       9.11      
36      13.95         20.43         50000       9.11      
37      7.54          15.25         50000       7.03      
38      14.51         19.87         50000       7.03      
39      5.73          23.10         50000       7.03      
40      115.16        0.50          50000       6.19      
41      10.06         20.22         50000       6.19      
42      12.22         18.00         50000       6.19      
43      240.46        0.52          50000       6.47      
44      19.51         22.73         50000       6.47      
45      13.99         19.97         50000       6.47      
46      13.39         20.26         50000       6.47      
47      15.29         17.98         50000       7.34      
48      14.56         15.52         50000       7.34      
49      12.81         20.31         50000       7.34      
50      10.66         17.83         50000       9.65      
51      9.81          15.06         50000       9.65      
52      11.64         17.81         50000       9.65      
53      14.92         13.06         50000       7.22      
54      19.35         25.33         50000       7.22      
55      14.34         17.86         50000       7.22      
56      354.37        19.41         50000       6.25      
57      68.22         405.17        50000       6.25      
58      166.69        102.10        50000       6.25      
59      11.62         80.27         50000       9.59      
60      15.69         22.83         50000       9.59      
61      15.33         17.96         50000       9.59      
62      134.19        0.39          50000       8.17      
63      11.73         20.09         50000       8.17      
64      14.45         20.63         50000       8.17      
65      243.17        0.39          50000       7.36      
66      17.65         37.69         50000       7.36      
67      12.13         18.03         50000       7.36      
68      10.55         17.73         50000       7.36      
69      13.08         17.64         50000       6.79      
70      11.05         35.27         50000       6.79      
71      9.05          20.17         50000       6.79      
72      7.69          15.21         50000       7.67      
73      11.17         15.43         50000       7.67      
74      11.00         20.22         50000       7.67      
75      13.92         25.31         50000       7.43      
76      16.71         30.02         50000       7.43      
77      13.01         20.19         50000       7.43      
78      15.78         17.88         50000       7.43      
79      53.09         0.50          50000       7.45      
80      9.29          15.24         50000       7.45      
81      12.31         17.87         50000       7.45      
82      96.46         0.40          50000       7.80      
83      14.26         17.76         50000       7.80      
84      13.03         22.57         50000       7.80      
85      146.87        0.38          50000       7.56      
86      11.99         17.77         50000       7.56      
87      20.37         17.96         50000       7.56      
88      146.64        120.01        50000       7.56      
89      16.84         55.35         50000       7.15      
90      15.33         22.86         50000       7.15      
91      10.31         20.28         50000       7.15      
92      14.71         27.70         50000       7.12      
93      14.81         17.69         50000       7.12      
94      7.29          17.79         50000       7.12      
95      18.89         20.21         50000       8.80      
96      14.38         33.00         50000       8.80      
97      12.54         23.00         50000       8.80      
98      18.19         20.41         50000       8.08      
99      12.97         30.13         50000       8.08      
100     12.11         20.34         50000       8.08      
101     6.56          15.30         50000       8.08      
102     362.50        80.15         50000       8.75      
103     136.24        127.49        50000       8.75      
104     14.00         50.29         50000       8.75      
105     5.26          20.04         50000       7.58      
106     14.38         20.33         50000       7.58      
107     288.91        63.27         50000       7.58      
108     48.76         18.68         50000       6.64      
109     24.71         17.80         50000       6.64      
110     9.32          237.59        50000       6.64      
111     17.11         37.78         50000       6.64      
112     10.27         15.05         50000       6.95      
113     61.68         147.59        50000       6.95      
114     16.11         90.24         50000       6.95      
115     17.64         20.15         50000       8.82      
116     11.68         20.25         50000       8.82      
117     12.38         20.01         50000       8.82      
118     13.18         37.51         50000       9.27      
119     13.27         22.75         50000       9.27      
120     13.28         22.74         50000       9.27      
121     7.41          15.23         50000       9.27      
122     13.21         17.81         50000       6.85      
123     9.95          15.23         50000       6.85      
124     14.91         17.56         50000       6.85      
125     11.01         20.31         50000       6.96      
126     12.81         15.20         50000       6.96      
127     7.44          17.72         50000       6.96      
128     18.38         17.66         50000       8.04      
129     12.35         17.70         50000       8.04      
130     10.20         20.37         50000       8.04      
131     14.89         15.30         50000       8.04      
132     12.91         17.75         50000       7.40      
133     13.67         22.72         50000       7.40      
134     11.67         15.15         50000       7.40      
135     13.28         358.07        50000       10.00     
136     66.59         11.98         50000       10.00     
137     60.11         169.95        50000       10.00     
138     13.19         57.46         50000       7.21      
139     42.65         505.09        50000       7.21      
140     242.26        122.35        50000       7.21      
141     61.65         482.31        50000       7.21      
142     240.08        134.97        50000       9.11      
143     24.12         47.51         50000       9.11      
144     19.52         20.17         50000       6.81      
145     12.88         18.00         50000       6.81      
146     6.27          20.00         50000       6.81      
147     100.26        0.34          50000       6.53      
148     10.15         22.50         50000       6.53      
149     10.07         19.94         50000       6.53      
150     11.07         25.20         50000       6.53      
151     19.61         17.63         50000       6.57      
152     14.60         17.68         50000       6.57      
153     11.41         15.07         50000       6.57      
154     12.79         15.53         50000       7.36      
155     13.00         20.11         50000       7.36      
156     219.41        134.54        50000       7.36      
157     49.03         155.48        50000       6.60      
158     18.49         62.39         50000       6.60      
159     13.89         22.77         50000       6.60      
160     9.72          17.80         50000       7.38      
161     9.23          20.13         50000       7.38      
162     9.25          20.07         50000       7.38      
163     12.15         17.16         50000       7.38      
164     9.36          27.68         50000       10.18     
165     13.46         20.37         50000       10.18     
166     12.74         15.15         50000       10.18     
167     12.88         20.24         50000       10.38     
168     11.04         15.57         50000       10.38     
169     123.75        137.66        50000       10.38     
170     15.43         333.02        50000       6.97      
171     43.96         161.00        50000       6.97      
172     15.35         67.47         50000       6.97      
173     21.08         17.58         50000       6.97      
174     15.61         20.11         50000       8.48      
175     14.43         15.05         50000       8.48      
176     6.90          17.40         50000       8.48      
177     11.05         82.76         50000       7.40      
178     18.71         25.16         50000       7.40      
179     14.30         17.62         50000       7.40      
180     13.29         17.43         50000       7.06      
181     13.57         24.86         50000       7.06      
182     13.11         22.80         50000       7.06      
183     5.03          22.52         50000       7.06      
184     11.83         17.83         50000       9.43      
185     15.56         17.58         50000       9.43      
186     16.49         15.10         50000       9.43      
187     13.58         20.11         50000       6.83      
188     11.55         17.69         50000       6.83      
189     11.65         19.96         50000       6.83      
190     10.76         17.55         50000       7.37      
191     12.57         20.04         50000       7.37      
192     16.30         20.20         50000       7.37      
193     15.28         15.14         50000       7.37      
194     17.83         19.86         50000       7.95      
195     6.37          19.92         50000       7.95      
196     11.74         20.08         50000       7.95      
197     11.10         20.24         50000       7.15      
198     5.45          20.25         50000       7.15      
199     10.99         20.14         50000       7.15      
200     11.00         17.52         50000       9.00      
201     12.49         17.38         50000       9.00      
202     11.88         20.12         50000       9.00      
203     20.38         17.53         50000       9.00      
204     18.58         20.13         50000       6.80      
205     13.09         15.24         50000       6.80      
206     12.72         17.42         50000       6.80      
207     11.62         17.42         50000       7.33      
208     14.45         20.14         50000       7.33      
209     10.12         20.32         50000       7.33      
210     12.62         20.25         50000       7.27      
211     13.27         14.85         50000       7.27      
212     7.06          22.79         50000       7.27      
213     6.62          20.52         50000       7.39      
214     5.42          20.38         50000       7.39      
215     19.27         17.62         50000       7.39      
216     17.24         20.05         50000       7.39      
217     10.27         17.70         50000       6.33      
218     13.81         20.25         50000       6.33      
219     11.24         20.17         50000       6.33      
220     7.42          22.42         50000       10.78     
221     4.60          20.28         50000       10.78     
222     12.74         15.04         50000       10.78     
223     10.43         15.14         50000       7.38      
224     14.86         20.09         50000       7.38      
225     12.89         15.11         50000       7.38      
226     10.66         20.07         50000       7.38      
227     15.38         20.15         50000       8.51      
228     13.15         17.74         50000       8.51      
229     14.96         22.76         50000       8.51      
230     19.61         20.19         50000       7.51      
231     11.88         17.67         50000       7.51      
232     10.12         17.53         50000       7.51      
233     15.10         17.62         50000       8.48      
234     14.66         19.79         50000       8.48      
235     10.88         35.11         50000       8.48      
236     6.53          15.30         50000       8.48      
237     6.93          15.27         50000       6.92      
238     10.58         15.35         50000       6.92      
239     13.53         15.23         50000       6.92      
240     7.79          20.23         50000       7.67      
241     19.36         27.65         50000       7.67      
242     7.37          17.66         50000       7.67      
243     9.76          20.21         50000       7.74      
244     4.22          20.23         50000       7.74      
245     7.23          20.14         50000       7.74      
246     13.21         17.78         50000       7.74      
247     11.85         17.67         50000       7.13      
248     10.91         20.20         50000       7.13      
249     10.85         15.25         50000       7.13      
250     18.70         20.34         50000       6.72      
251     34.73         77.73         50000       6.72      
252     14.05         25.15         50000       6.72      
253     6.27          32.67         50000       8.85      
254     8.03          20.13         50000       8.85      
255     15.72         20.08         50000       8.85      
256     14.77         17.54         50000       8.85      
257     14.41         20.06         50000       8.69      
258     14.88         15.11         50000       8.69      
259     16.54         12.41         50000       8.69      
260     14.80         15.02         50000       7.10      
261     14.00         17.74         50000       7.10      
262     13.45         20.15         50000       7.10      
263     17.52         17.40         50000       7.58      
264     13.61         20.25         50000       7.58      
265     5.03          25.25         50000       7.58      
266     8.22          15.12         50000       7.94      
267     12.79         17.54         50000       7.94      
268     11.44         17.89         50000       7.94      
269     11.87         27.73         50000       7.94      
270     10.42         20.08         50000       9.37      
271     4.77          17.85         50000       9.37      
272     7.57          15.06         50000       9.37      
273     7.84          17.51         50000       9.06      
274     15.96         17.42         50000       9.06      
275     8.57          17.61         50000       9.06      
276     15.79         20.30         50000       8.82      
277     14.30         17.56         50000       8.82      
278     8.78          32.52         50000       8.82      
279     15.31         17.40         50000       8.82      
280     13.44         15.29         50000       6.32      
281     10.05         15.26         50000       6.32      
282     9.43          17.71         50000       6.32      
283     13.57         20.23         50000       7.50      
284     6.87          15.18         50000       7.50      
285     12.26         22.75         50000       7.50      
286     10.03         25.24         50000       7.64      
287     11.22         20.32         50000       7.64      
288     13.09         17.86         50000       7.64      
289     20.67         21.54         50000       7.64      
290     11.51         15.26         50000       8.49      
291     13.80         15.33         50000       8.49      
292     13.59         22.70         50000       8.49      
293     13.18         20.15         50000       9.95      
294     15.23         25.37         50000       9.95      
295     14.99         17.69         50000       9.95      
296     15.10         25.02         50000       6.21      
297     13.13         17.69         50000       6.21      
